TID	Product1	Product2	Product3	Product4	Product5	Product6	Product7	Product8	Product9	Product10	Product11	Product12	Product13	Product14	Product15	Product16	Product17	Product18	Product19	Product20	Product21	Product22	Product23	Product24	Product25	Product26	Product27	Product28	Product29	Product30	Product31	Product32
1	whole milk	brown bread	fruit/vegetable juice																													
2	onions	other vegetables	whole milk	yogurt	roll products 	semi-finished bread																										
3	whole milk	curd	yogurt	whipped/sour cream	rolls/buns	coffee	bottled water	waffles	newspapers																							
4	Ginger powder	napkins																														
5	shopping bags																															
6	Martadella	other vegetables	rolls/buns																													
7	chicken	berries	other vegetables	yogurt	frozen vegetables																											
8	newspapers																															
9	whole milk	photo/film																														
10	Pepsi																															
11	meat	whole milk	domestic eggs	bottled water																												
12	berries	butter	domestic eggs	soda	red/blush wine																											
13	meat	yogurt	napkins																													
14	shopping bags																															
15	beverages	specialty bar																														
16	UHT-milk																															
17	whole milk	dessert	yogurt	canned fish	soda	fruit/vegetable juice	shopping bags																									
18	specialty chocolate	newspapers																														
19	pastry																															
20	berries	other vegetables	whole milk	whipped/sour cream																												
21	other vegetables	UHT-milk	cream																													
22	Martadella	whole milk																														
23	sausage	Frozen beef slices	frozen dessert	salty snack																												
24	turkey	tropical fruit	root vegetables	whole milk	newspapers																											
25	sausage	beef	whole milk	rolls/buns	pastry	fruit/vegetable juice																										
26	UHT-milk	rolls/buns																														
27	chicken	beef	other vegetables																													
28	other vegetables	whole milk	margarine																													
29	whole milk	sugar	cat food																													
30	whole milk	curd	butter milk	beverages	tidbits	long life bakery product	waffles	dental care																								
31	pastry	soda																														
32	shopping bags																															
33	turkey	citrus fruit	tropical fruit	pip fruit	grapes	cream cheese 	semi-finished bread	margarine	fruit/vegetable juice	specialty bar	shopping bags																					
34	whole milk	yogurt	frozen meals	waffles	napkins	newspapers																										
35	frozen vegetables	soda																														
36	whole milk	butter milk	hard cheese	coffee	chocolate	candy																										
37	sausage	finished products	Martadella	berries	root vegetables	packaged fruit/vegetables	whole milk	curd	frozen vegetables	brown bread	sugar	soda	fruit/vegetable juice	chocolate	specialty chocolate	specialty bar	hygiene articles	napkins														
38	meat	dessert	UHT-milk	fruit/vegetable juice																												
39	soda	chocolate	chocolate marshmallow																													
40	sausage	Martadella	grapes	whole milk	rolls/buns	pastry	soda	specialty bar	bathroom cleaner																							
41	other vegetables	whole milk	yogurt	specialty cheese	cereals	Pepsi	long life bakery product																									
42	citrus fruit	tropical fruit	root vegetables	herbs	other vegetables	whole milk	yogurt	bottled water	Pepsi																							
43	Martadella	frozen potato products	rolls/buns	margarine	coffee	female sanitary products																										
44	bottled water	newspapers																														
45	Canned Pepsi																															
46	other vegetables	rolls/buns	hair spray																													
47	whole milk	rolls/buns	brown bread	oil	sauces																											
48	root vegetables	yogurt	brown bread	pastry	flour	bottled water	pot plants																									
49	white bread	misc. beverages	Pepsi	Ginger powder	red/blush wine																											
50	beef																															
51	beverages	UHT-milk	zwieback	misc. beverages																												
52	root vegetables	herbs	whole milk	butter milk	cream cheese 	waffles	napkins	newspapers																								
53	newspapers																															
54	seasonal products																															
55	napkins																															
56	turkey	tropical fruit	grapes	other vegetables	whole milk	curd	yogurt	processed cheese	dog food	pot plants																						
57	whole milk	cake bar																														
58	condensed milk	rolls/buns	coffee	newspapers																												
59	whipped/sour cream	frozen vegetables																														
60	sausage	Frozen beef slices	finished products	frozen meals	salty snack	long life bakery product	waffles	shopping bags																								
61	Frozen beef slicesburger meat	hard cheese	sauces	coffee	toilet cleaner	shopping bags																										
62	rolls/buns																															
63	beef	spread cheese	domestic eggs	cat food	Powedered honny	shopping bags																										
64	grapes	soft cheese	bottled water																													
65	ice cream																															
66	sausage	butter	pastry	vinegar	margarine																											
67	citrus fruit	misc. beverages																														
68	whole milk	soda																														
69	rolls/buns	soda																														
70	coffee																															
71	Frozen beef slices	chicken	other vegetables	whole milk	frozen vegetables	specialty chocolate																										
72	Pepsi	flower (seeds)																														
73	meat	pip fruit	dessert	processed cheese	domestic eggs	rolls/buns	white bread	brown bread	pastry	semi-finished bread	candy	cookware																				
74	tropical fruit	soft cheese	rolls/buns	chocolate																												
75	fruit/vegetable juice	hygiene articles	napkins																													
76	grapes	root vegetables																														
77	tropical fruit	pip fruit	root vegetables	butter	curd	chewing gum	chocolate																									
78	margarine	soda																														
79	hard cheese	pastry																														
80	other vegetables	bottled water	Canned Pepsi	chewing gum	newspapers																											
81	Martadella	tropical fruit	root vegetables	onions	other vegetables	shopping bags																										
82	Frozen beef slicesburger meat	root vegetables	other vegetables	rolls/buns	roll products 	pet care	newspapers																									
83	rolls/buns																															
84	bottled water	Pepsi																														
85	citrus fruit	tropical fruit	pip fruit																													
86	Canned Pepsi																															
87	Frozen beef slices	dessert	yogurt	processed cheese	soda																											
88	citrus fruit	whole milk	soft cheese	rice	margarine	sugar	soups	bottled water																								
89	chocolate	specialty bar																														
90	UHT-milk	bottled water	fruit/vegetable juice	Canned Pepsi																												
91	sausage	rolls/buns	shopping bags																													
92	citrus fruit	other vegetables	butter	candy																												
93	whole milk	butter	soft cheese																													
94	meat	root vegetables	onions	herbs	other vegetables	whole milk	flour	soda	seasonal products																							
95	Industrial Fruit Juice																															
96	chicken	tropical fruit	other vegetables	whole milk	soft cheese	frozen vegetables	chocolate																									
97	berries	other vegetables	yogurt	spread cheese	rolls/buns																											
98	salty snack	dental care																														
99	Halawa	chocolate																														
100	root vegetables																															
101	candy																															
102	other vegetables	beverages	domestic eggs	brown bread	pastry	soda	newspapers																									
103	citrus fruit	tropical fruit	root vegetables	frozen meals	frozen fish	bottled water																										
104	whole milk	zwieback	soda																													
105	packaged fruit/vegetables	whole milk	dessert	yogurt	UHT-milk	margarine	bottled water	long life bakery product																								
106	tropical fruit	pip fruit	whole milk	rolls/buns	brown bread	soda	chewing gum																									
107	packaged fruit/vegetables																															
108	whole milk	frozen vegetables	coffee																													
109	domestic eggs	Canned Pepsi	Ginger powder (appetizer)	chocolate marshmallow	shopping bags																											
110	sausage	Frozen beef slices	meat	Martadella	tropical fruit	pip fruit	grapes	other vegetables	whole milk	butter	whipped/sour cream	frozen meals	frozen fish	ice cream	domestic eggs	pastry	soda	syrup	detergent													
111	Canned Pepsi																															
112	beverages	rolls/buns	soda																													
113	Canned Pepsi																															
114	Frozen beef slicesburger meat	pip fruit	whole milk	hard cheese	chocolate																											
115	root vegetables	whole milk	roll products 																													
116	beef	citrus fruit	berries	whole milk	yogurt	UHT-milk	specialty cheese	pastry	cake bar	seasonal products	detergent	pot plants																				
117	whole milk																															
118	curd	yogurt	newspapers																													
119	whole milk	specialty cheese	frozen vegetables																													
120	citrus fruit	pip fruit	other vegetables	whole milk	curd	frozen fish	domestic eggs	jam	dishes																							
121	Halawa	rolls/buns	pastry																													
122	butter milk	yogurt	cream cheese 	spread cheese	rolls/buns	bottled water	soda	newspapers																								
123	chicken	root vegetables	whole milk	butter	yogurt	Canned  honey	chocolate	softener	female sanitary products	napkins	kitchen towels	house keeping products	newspapers																			
124	coffee	seasonal products	shopping bags																													
125	napkins																															
126	cleaner	female sanitary products																														
127	other vegetables	whole milk	baking powder	coffee	flower (seeds)																											
128	chewing gum	chocolate	specialty chocolate																													
129	salty snack																															
130	sausage	mayonnaise	misc. beverages	candy																												
131	whole milk	rolls/buns	baking powder	chocolate																												
132	butter milk	coffee																														
133	soda																															
134	sausage	pip fruit	rolls/buns	pastry	soda	fruit/vegetable juice	Canned Pepsi	salty snack	candy	hygiene articles																						
135	butter	hard cheese	white bread	chocolate	candy																											
136	Frozen beef slices	citrus fruit	root vegetables	whipped/sour cream	Canned Pepsi	napkins																										
137	nuts/prunes	whole milk	rolls/buns	waffles	chocolate	newspapers																										
138	tropical fruit	seasonal products																														
139	rolls/buns	pastry																														
140	dessert	brown bread																														
141	Canned Pepsi																															
142	oil	Pepsi																														
143	chicken	beef	whole milk	bottled water	newspapers																											
144	beverages	cream cheese 	rolls/buns																													
145	brown bread	dog food	Canned Pepsi																													
146	chicken	grapes	root vegetables	whole milk	domestic eggs	detergent	newspapers																									
147	tropical fruit	pip fruit	frozen meals	softener																												
148	soda	Pepsi	house keeping products																													
149	sausage	root vegetables	onions	yogurt	rolls/buns	Industrial Fruit Juice	detergent																									
