turkey,root,vegetables,other,vegetables,whole,milk,butter,milk,UHT-milk,brown,bread,bottled,water,,,,,,,,,,,,,,,,,,,,,,,,,,
finished,products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus,fruit,other,vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,tropical,fruit,other,vegetables,butter,sliced,cheese,domestic,eggs,rolls/buns,brown,bread,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,
Halawa,sausage,tropical,fruit,oil,spices,pickled,vegetables,bottled,water,misc.,beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical,fruit,pip,fruit,brown,bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chewing,gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,domestic,eggs,pastry,bottled,water,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other,vegetables,whole,milk,yogurt,domestic,eggs,roll,products,newspapers,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,Ginger,powder,red/blush,wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,softener,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,other,vegetables,cream,cheese,soda,Canned,Pepsi,Powedered,honny,specialty,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,Frozen,beef,slices,sliced,cheese,frozen,fish,rolls/buns,margarine,mustard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole,milk,frozen,dessert,salty,snack,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pastry,margarine,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
margarine,misc.,beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butter,milk,yogurt,honey,soda,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus,fruit,other,vegetables,whole,milk,dessert,yogurt,frozen,vegetables,fruit/vegetable,juice,Pepsi,salty,snack,,,,,,,,,,,,,,,,,,,,,,,,,
other,vegetables,whole,milk,cream,cheese,frozen,meals,rolls/buns,brown,bread,bottled,water,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,
whole,milk,Pepsi,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liver,loaf,Martadella,citrus,fruit,tropical,fruit,root,vegetables,other,vegetables,whole,milk,curd,dessert,yogurt,frozen,vegetables,brown,bread,semi-finished,bread,oil,dog,food,fruit/vegetable,juice,,,,,,,,,,,,,
pip,fruit,beverages,frozen,vegetables,frozen,meals,bottled,water,soda,salty,snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pepsi,Ginger,powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other,vegetables,frozen,meals,pasta,canned,fish,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salty,snack,newspapers,photo/film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole,milk,pastry,semi-finished,bread,sugar,soda,salty,snack,specialty,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frozen,beef,slices,chicken,Martadella,root,vegetables,whole,milk,whipped/sour,cream,rolls/buns,sugar,soda,waffles,chocolate,specialty,chocolate,chocolate,marshmallow,napkins,,,,,,,,,,,,,,,,,,,
herbs,other,vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole,milk,yogurt,bottled,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martadella,pip,fruit,root,vegetables,other,vegetables,curd,butter,milk,margarine,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
root,vegetables,other,vegetables,whole,milk,rolls/buns,bottled,water,dishes,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,Martadella,pip,fruit,other,vegetables,whole,milk,tidbits,frozen,fish,rolls/buns,margarine,baking,powder,soda,Pepsi,Powedered,honny,waffles,chocolate,candy,,,,,,,,,,,,,,,,,,
Frozen,beef,slicesburger,meat,domestic,eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,cream,cheese,pastry,canned,fish,fruit/vegetable,juice,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halawa,Martadella,citrus,fruit,pip,fruit,other,vegetables,whipped/sour,cream,UHT-milk,salad,dressing,frozen,potato,products,salty,snack,newspapers,,,,,,,,,,,,,,,,,,,,,
Pepsi,Ginger,powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,other,vegetables,dessert,yogurt,condensed,milk,hard,cheese,spread,cheese,bottled,water,fruit/vegetable,juice,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,
curd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical,fruit,whole,milk,hard,cheese,rolls/buns,cat,food,bottled,water,dish,cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus,fruit,tropical,fruit,pip,fruit,root,vegetables,other,vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus,fruit,other,vegetables,hard,cheese,spices,coffee,Canned,Pepsi,chocolate,candy,flower,(seeds),shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,
semi-finished,bread,long,life,bakery,product,waffles,detergent,newspapers,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole,milk,semi-finished,bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,tropical,fruit,grapes,berries,other,vegetables,pastry,soda,specialty,chocolate,napkins,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,
pip,fruit,pasta,oil,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,pip,fruit,onions,spices,cat,food,Pepsi,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frozen,beef,slices,meat,whole,milk,dessert,butter,milk,whipped/sour,cream,sliced,cheese,rolls/buns,soda,fruit/vegetable,juice,,,,,,,,,,,,,,,,,,,,,,,
citrus,fruit,whole,milk,yogurt,whipped/sour,cream,cat,food,specialty,chocolate,female,sanitary,products,,,,,,,,,,,,,,,,,,,,,,,,,,
meat,organic,sausage,whole,milk,butter,UHT-milk,frozen,vegetables,pickled,vegetables,cat,food,female,sanitary,products,,,,,,,,,,,,,,,,,,,,,,,,
meat,onions,other,vegetables,chewing,gum,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halawa,whole,milk,yogurt,processed,cheese,ice,cream,frozen,dessert,rolls/buns,white,bread,brown,bread,sugar,coffee,bottled,water,soda,Pepsi,candy,,,,,,,,,,,,,,,,,,
sausage,meat,tropical,fruit,rolls/buns,margarine,bottled,water,Pepsi,skin,care,hygiene,articles,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,
