TID,Product1,Product2,Product3,Product4,Product5,Product6,Product7,Product8,Product9,Product10,Product11,Product12,Product13,Product14,Product15,Product16,Product17,Product18,Product19,Product20,Product21,Product22,Product23,Product24,Product25,Product26,Product27,Product28,Product29,Product30,Product31,Product32,Product33,Product34,Product35,Product36,Product37,Product38,Product39,Product40
1,turkey,root,vegetables,other,vegetables,whole,milk,butter,milk,UHT-milk,brown,bread,bottled,water,,,,,,,,,,,,,,,,,,,,,,,,,,
2,finished,products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,citrus,fruit,other,vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,sausage,tropical,fruit,other,vegetables,butter,sliced,cheese,domestic,eggs,rolls/buns,brown,bread,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Halawa,sausage,tropical,fruit,oil,spices,pickled,vegetables,bottled,water,misc.,beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,tropical,fruit,pip,fruit,brown,bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,chewing,gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,sausage,domestic,eggs,pastry,bottled,water,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,other,vegetables,whole,milk,yogurt,domestic,eggs,roll,products,newspapers,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,rolls/buns,Ginger,powder,red/blush,wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,yogurt,softener,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,sausage,other,vegetables,cream,cheese,soda,Canned,Pepsi,Powedered,honny,specialty,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,sausage,Frozen,beef,slices,sliced,cheese,frozen,fish,rolls/buns,margarine,mustard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,whole,milk,frozen,dessert,salty,snack,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,pastry,margarine,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,margarine,misc.,beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
